Date,ASIANPAINT,BAJFINANCE,HDFCBANK,HINDUNILVR,ICICIBANK,INFY,LT,NTPC,RELIANCE,TCS
2015-12-01,766.7457574114808,53.19138741068869,246.78847383197984,690.6159689151946,232.0142119240257,409.5086199838506,775.8214972489036,75.30327079767827,208.28743295707417,946.9330044295292
2015-12-02,778.8693819106666,53.739730055592325,246.4090916117785,700.4411691999951,227.98175416519712,404.1844686264207,770.860547194077,75.59070571913497,208.9916340642138,942.6944816832078
2015-12-03,773.5220614116249,53.52774476492439,245.36313595336483,692.444774841855,225.05292721004915,400.3868901008792,766.526745387224,76.10804822235369,211.07181477987675,942.89519016745
2015-12-04,764.7174636234312,52.61450223718428,242.76537703747843,684.7888806746424,221.40250421269,396.9709315286437,762.9628390264668,74.72845146990895,208.3199199541801,932.4902528963302
2015-12-07,775.3660274311858,52.65661042769741,243.93783760565293,693.2956344522111,222.0816709587211,396.9326720243429,761.8794753609562,73.57878478808374,205.7955720076032,930.1401801465832
2015-12-08,790.3016484643687,52.08165746131344,240.6963367912069,699.7604956390225,220.4262265489682,396.6656336073037,749.2773861497703,74.32606124437942,202.83781709465987,930.9637265584984
2015-12-09,771.6320118051289,52.86084168797838,240.20209248885456,694.2738361475023,219.36505771287645,390.2726168960539,740.3819155181357,74.09612810459079,197.7999185911125,932.0483581280636
2015-12-10,776.4724772884614,53.13863815139476,239.61584912059976,690.9563147932787,217.3276038834115,393.2305670748239,741.86449228108,74.84340678034603,199.3492100251748,944.9041390617108
2015-12-11,782.5111112387023,53.247528579795485,239.5468833541635,694.6990989673901,209.8145440877976,399.18460965255446,727.922411490127,75.67694149692359,204.31128335194933,949.4236577970084
2015-12-14,786.4295504969438,52.45286068029156,239.11007280664012,691.9770166402876,207.98930772931564,400.00517531063247,721.0512519319539,75.53321079670312,204.98300847329256,936.3068959000996
2015-12-15,798.8298743974976,52.55981192546744,240.3055453517986,713.8816902115934,206.3338890931648,404.1080435904692,721.3935146165337,75.01586682481162,206.6406134175519,949.3434238315044
2015-12-16,792.0533492099634,54.07850355788504,243.5354901442062,725.3657191375753,206.84328277999649,413.4970248973706,727.6088484345656,75.76314768406091,210.94178949059952,957.7598416025616
2015-12-17,796.5710249015921,54.446314492957065,244.83438079982295,714.5623067779144,212.3188645655019,415.2527281133196,730.7736367480575,77.17147614006116,211.9168640702884,961.5162405301122
2015-12-18,800.2588257029037,55.52072407752568,245.63901143638415,724.897792039672,212.1066519576044,411.9895101608973,732.2276785453732,77.71759413277077,214.5171002828927,964.4488945383988
2015-12-21,799.0601106476813,55.65623897428852,245.76546044013372,722.8563360600386,212.23396329297717,406.8369951348001,732.4557816485617,77.60261306544807,213.29281114779627,966.9399222911
2015-12-22,805.375796622253,56.575777748224326,244.604501784382,717.2842257230832,217.70964267363223,412.237555135668,727.6089656077221,78.46485825063571,213.21697188041995,964.187843268026
2015-12-23,806.4820167634708,56.68854352981799,245.78840981483205,728.2155627227119,219.959310367852,414.8901404213743,731.600385865047,78.86726063317391,214.5171146691673,968.4263070045736
2015-12-24,805.3757254260729,56.63869261566572,245.5930114986316,733.277033860193,218.43123647876612,416.054253353225,733.4821569257667,79.78699646518785,215.88219048364212,965.7947267029116
2015-12-28,808.3260611807741,56.96294646991931,245.46661999840336,733.7022805303732,220.72337897970883,416.01608493905934,734.5370845882796,80.07441890933545,216.6839181277839,972.3033980152992
2015-12-29,810.0316758415311,57.022965463188015,246.2827522960706,727.322162100093,221.9967435437498,418.8022339852307,732.9119522654576,82.83360439784413,218.23320951936157,982.5680331345486
2015-12-30,806.7125724842416,57.52629389643451,246.57008681163543,727.0671532690519,222.20899039058435,413.34442598413074,730.7451324847897,82.71862349291587,217.1172877638419,969.129507965538
2015-12-31,806.7124925989993,57.702453580953936,247.13330909186075,724.3448876486209,220.8507047312661,414.871071876487,725.4134695527241,82.80485173007042,216.4889118206147,967.2009946837788
2016-01-01,808.4643234955637,58.07607241720148,247.39766983779748,726.0462770193068,219.02547582601224,417.2374215354224,725.6415033545397,82.83361504149462,218.46073576088267,969.10922596411
2016-01-04,803.6700272275814,58.03203319012323,245.5470403343168,724.0472419207636,216.1815347433112,410.6918628848941,714.6646848872534,82.11508096435557,213.80201044918545,950.5490050177866
2016-01-05,812.5208134131542,57.882482303569226,243.9952818324604,719.240922986583,213.67716363175936,405.424848837056,714.2085193791108,81.62645944598151,216.03386823402064,940.4851017518528
2016-01-06,815.0102414290159,57.601787492624574,242.91479956945145,715.3703535312499,211.5548409968496,404.1462211400104,704.2295016350123,80.50552900383063,216.77060804018743,944.1810470205248
2016-01-07,801.180814005475,58.36838835788385,241.31706105919375,695.4223165887045,206.3763339644958,399.947968415872,684.2716970078026,78.7810476755615,218.4282242695789,948.1180647074328
2016-01-08,798.9680923507092,58.972386687884,243.05276355010952,687.0855819621794,206.6734572797013,402.8485777569372,670.0160111209684,78.8097746208467,220.3025582007487,953.1400983471428
2016-01-11,794.3583671102227,60.21521264450523,240.30552837733856,681.6837807756812,202.08919190809056,401.5509379670736,652.9376401285043,78.89598636303917,219.0674449426684,943.6388808991968
2016-01-12,802.2873151730724,59.54733459410534,239.89170026772803,684.4060992036277,200.0093170455931,393.4404428069196,669.0180880454578,82.05759256727433,225.58961900047527,924.6563465023012
2016-01-13,783.7096619132838,58.41533157629433,238.39745866576,692.2321798965331,196.1891227500778,400.024297123976,643.2723580744681,81.22408272254279,226.9113918866168,905.9751096863096
