Date,ASIANPAINT,BAJFINANCE,HDFCBANK,HINDUNILVR,ICICIBANK,INFY,LT,NTPC,RELIANCE,TCS
2015-12-01,777.2099495256731,53.381589139327176,247.6045997121121,690.6159689151946,233.4998525430712,415.2527133775487,784.0612928334102,75.36075596609463,208.88331123654007,949.2831536627956
2015-12-02,781.7735694152071,53.913958580994255,250.58162613663677,708.5225280900864,233.07536859007857,412.1803561449794,780.0696998929834,76.30924677823444,209.37083456365437,955.3494470243631
2015-12-03,782.7416330613463,54.19271603538875,246.55856017145285,704.2265232769529,228.0666421522392,404.9477819209684,770.0906250709357,76.36672360687517,211.2451569809326,948.1178733682068
2015-12-04,775.8270373965548,53.68165099937016,246.81146104218536,691.8919495381887,223.31261144613623,400.3677693953956,764.4169266272024,76.5104340700033,210.68176513068136,940.08319330163
2015-12-07,776.28798465762,52.77856965399194,245.57006145951755,693.2956344522111,224.3737970547029,402.7721809315069,767.2110955332686,74.72845683631772,209.1974995747284,936.9497387845204
2015-12-08,805.8366033086467,52.9847428567054,243.9148169393224,707.6717611028955,222.2089895004225,398.8602138883437,762.9343135049754,74.41228637343322,205.61136447386903,931.8073322258446
2015-12-09,798.8297464562403,53.62309236897048,240.7193482870344,703.5035781640679,221.4025092748996,398.0776923201125,752.7558350019275,74.98712464088325,202.8594885284744,939.2395540720916
2015-12-10,778.5929679004951,53.33416430152918,240.2365447574851,700.1010120958674,221.4449550594681,395.6350353404735,746.7684425587553,74.84340678034603,199.89091885238523,951.7338033321398
2015-12-11,793.7589994381128,53.60178999780062,243.68492932381315,696.1026721485429,221.19027777294187,402.27609594855977,747.6237241466675,76.71164329363307,206.22893933201533,957.3581197631528
2015-12-14,792.8832513802715,53.42999303605551,239.3169807080205,701.8022375822919,209.9418630778324,400.5585725203805,732.3987533257841,75.87811130262413,205.32970736030373,938.1548639711305
2015-12-15,809.9394480596059,52.994415801947945,242.07569830224955,713.8816902115934,210.4512260143882,409.6230995299803,727.0387356818645,76.16553352764201,207.36651277418173,955.5302568293652
2015-12-16,811.3222757681766,54.30161176801783,244.3745995086307,735.8289410950109,209.8994462929001,413.4970248973706,736.0196697926158,75.76314768406091,211.4618305122864,957.7598416025616
2015-12-17,803.4857039371961,54.4947104784754,246.8804202050064,714.5623067779144,215.58726777837177,419.8327214380988,735.021830494577,77.31518641599166,212.36106787702775,970.2139787882098
2015-12-18,806.2515473239508,55.52072407752568,249.4322203167776,736.3392514402483,214.0167591491589,421.1304424780042,736.6469503796809,78.11997988939946,217.5073401495175,972.2226979053788
2015-12-21,810.4001700319968,55.65623897428852,246.38615611630823,733.2345133167169,212.31885947163175,411.05442453323,733.5677648753531,77.60261306544807,214.06203154684457,972.2027225596992
2015-12-22,805.7906886659736,57.15556962468381,247.01836199935943,725.5782497975076,217.7520907693153,418.8594528107701,736.1623623342792,78.6373084885492,215.1237938560502,980.2576406558264
2015-12-23,814.0420766459649,57.10814161492912,246.58152396449375,731.1078595830165,220.38377705602247,417.9434691314453,734.4515524041583,78.86726063317391,214.90714912672544,970.2140524122348
2015-12-24,811.7833394163148,57.25333315534606,247.40913123884403,738.3810503371782,223.27017699914975,420.6151917181876,739.4695336814292,80.04567189169181,217.52898467250333,972.6243899117092
2015-12-28,813.1663369962279,57.25332978718664,246.9034417029129,735.8289538072728,220.7658270794798,416.01608493905934,739.6691218452901,80.07441890933545,216.8139247728637,975.4370291752364
2015-12-29,814.7336919191922,57.204936913366936,248.04139965735453,737.5301924453576,224.11909119472853,420.3097964579386,741.2943219351926,83.03479460004512,218.93744111606745,987.6300603946548
2015-12-30,812.3826319309951,58.07608156997822,248.2827668951418,729.8743519307916,223.48239046828024,420.25257373934414,737.587849456027,82.77610865595915,219.9341851900015,985.5006171353032
2015-12-31,811.2761916686333,58.07511048177893,247.13330909186075,729.4063802189203,222.50612348686408,416.0733294708745,733.3111084082819,83.37968759390023,217.4206550550448,970.515390615717
2016-01-01,813.1662828947368,58.23190919879023,248.8344912859298,731.5756276937361,221.8269644537297,419.8327700225133,729.3195050058297,84.09824685034732,218.8074201514001,979.8559030475548
2016-01-04,807.8188342390297,59.0343327449851,249.2023198262713,728.6408252830643,221.57227142615352,419.8136462322499,733.3110762839893,82.34501644690923,217.76732871141704,968.265904920842
2016-01-05,812.5208134131542,58.80202081612394,246.02981552725703,729.2788107588424,217.53982591319263,414.2985864086837,720.0818265530229,83.1785118105425,216.74891923913347,958.1618828185258
2016-01-06,833.9103658060462,58.04607282019656,242.91479956945145,723.0689002616538,216.81824779689111,410.1574618956969,717.9149335839082,81.62645565957267,218.33073130996965,944.1810470205248
2016-01-07,814.0882149215586,59.04207368065259,243.7079379223809,714.5623803480265,209.1778226608465,404.5852214623395,700.3235670863914,80.99415636549716,221.2451071381122,952.1355141341592
2016-01-08,810.4003842158309,59.39247219742918,244.1332422645808,696.6981343597981,207.5648387552633,405.1385744092741,692.8820935322208,79.44209053313398,221.01762374427372,958.161911299446
2016-01-11,802.102830743364,61.09506561008112,241.8572955645357,685.6394135451956,205.3575951797584,403.15396371469,662.6030182654492,78.89598636303917,220.1400286902471,957.15756232621
2016-01-12,813.1664008920964,61.076669279378166,244.5814909166908,687.766253932903,204.5935686316973,405.3293497178879,676.4880567723213,82.48871826331471,228.6015262023633,949.2029075582876
2016-01-13,811.2762031299762,60.20552898509801,241.845830777608,699.0800577436203,201.87699684695875,403.4211353012035,680.8502900126199,83.86832213089329,228.18983392878877,930.8430837836612
