Price,Close,High,Low,Open,Volume
Ticker,BAJFINANCE.NS,BAJFINANCE.NS,BAJFINANCE.NS,BAJFINANCE.NS,BAJFINANCE.NS
Date,,,,,
2015-12-01,54.241111755371094,54.44534820932708,53.191387410688684,53.381589139327176,4725100
2015-12-02,53.93960952758789,54.4937504678402,53.739730055592325,53.913958580994255,2736400
2015-12-03,53.68309783935547,54.24982603211417,53.527744764924385,54.19271603538875,1828000
2015-12-04,52.724365234375,54.068342607449495,52.61450223718428,53.68165099937016,1700300
2015-12-07,53.01087188720703,53.44547578707218,52.65661042769741,52.778569653991944,1933400
2015-12-08,53.59647750854492,54.18013901381474,52.08165746131344,52.9847428567054,2675900
2015-12-09,53.27947235107422,53.92218231642093,52.86084168797838,53.62309236897048,7183900
2015-12-10,53.6017951965332,54.010748142189584,53.13863815139476,53.33416430152918,1871200
2015-12-11,53.47450637817383,53.99912668578041,53.247528579795485,53.60178999780062,2803200
2015-12-14,52.63580322265625,53.72037269050161,52.45286068029156,53.42999303605551,2855800
2015-12-15,54.26144027709961,54.44631760474103,52.55981192546744,52.994415801947945,3295800
2015-12-16,54.2841911315918,55.13258498724519,54.07850355788504,54.30161176801783,4391200
2015-12-17,55.528465270996094,55.75205716105964,54.446314492957065,54.4947104784754,9175600
2015-12-18,56.27377700805664,56.624168828009104,55.52072407752568,55.52072407752568,6464500
2015-12-21,56.815826416015625,57.34528380146864,55.65623897428852,55.65623897428852,3788400
2015-12-22,57.0640983581543,57.24316758726995,56.575777748224326,57.155569624683814,2572900
2015-12-23,57.21945571899414,57.60614364357416,56.68854352981799,57.10814161492912,2848900
2015-12-24,57.116851806640625,57.35012513854452,56.63869261566572,57.25333315534606,2460600
2015-12-28,57.16960144042969,57.25332978718664,56.96294646991931,57.25332978718664,902100
2015-12-29,57.94443893432617,58.066401862128046,57.022965463188015,57.204936913366936,3623100
2015-12-30,57.82635498046875,58.279346969302466,57.52629389643451,58.07608156997822,3829300
2015-12-31,58.172386169433594,58.46325321422373,57.702453580953936,58.07511048177893,5519300
2016-01-01,59.00383758544922,59.22549468379193,58.07607241720148,58.23190919879023,3039400
2016-01-04,58.58375930786133,59.0343327449851,58.03203319012323,59.0343327449851,4072000
2016-01-05,58.055259704589844,59.03287192396508,57.882482303569226,58.80202081612394,5112000
2016-01-06,59.11418533325195,59.81835865401867,57.601787492624574,58.046072820196564,3460100
2016-01-07,59.10498809814453,59.91417997690463,58.36838835788385,59.04207368065259,7822900
2016-01-08,61.120235443115234,61.61097829337691,58.972386687884004,59.39247219742918,10350700
2016-01-11,61.039894104003906,61.841343123652635,60.21521264450523,61.09506561008112,5324000
2016-01-12,60.09712219238281,61.26057920896086,59.54733459410534,61.076669279378166,5845200
2016-01-13,58.82960891723633,60.93534949973492,58.41533157629433,60.20552898509801,10359400
2016-01-14,58.810733795166016,59.2501783816565,57.973956184765285,58.560039841515426,5575400
2016-01-15,57.83699417114258,59.4882918283165,56.9290717882775,58.36645525042637,4152700
2016-01-18,53.26737594604492,57.834089734941905,52.92908033736382,57.25526528386063,11221300
2016-01-19,54.638938903808594,55.269061551274895,51.775304614684735,53.267375818153106,6370100
2016-01-20,54.585697174072266,55.17226448486064,52.82115084314142,54.39791765161869,9801800
2016-01-21,55.57928466796875,56.382668383749845,54.30112402828287,55.07595828437153,7095800
2016-01-22,56.340084075927734,56.61449417420124,55.68963119342338,56.30475171727466,5613300
2016-01-25,56.68514633178711,57.592101199724674,56.37201799343709,56.38121570452182,4681400
2016-01-27,57.465789794921875,57.96863250517962,56.31443270515676,57.17589386832435,3929500
2016-01-28,55.908390045166016,57.88200648289659,55.46265360731916,57.58775352803575,6951900
2016-01-29,57.38303756713867,57.78521503027559,55.714319193452745,56.517703024411574,3596300
2016-02-01,58.106563568115234,58.72458628116224,56.9431028932614,58.72458628116224,3292700
2016-02-02,56.25053787231445,58.56099827657406,55.95677238298362,58.43419836871698,7836400
2016-02-03,61.75179672241211,62.81797790342586,54.21400521469272,55.75302108948203,51682900
2016-02-04,61.40480041503906,62.196087960219444,60.20553101832317,62.05428590012179,13885700
2016-02-05,64.83564758300781,65.33558812806098,61.44449043646003,61.44449043646003,23956600
2016-02-08,64.46588134765625,66.18686851229647,63.506173607800974,64.81869531046982,10352100
2016-02-09,63.72929382324219,64.5200976404083,61.90909215674124,63.88367950019038,9211800
2016-02-10,62.70861053466797,64.92469413824637,62.044602945921454,63.72929438268835,7918000
2016-02-11,59.810611724853516,63.25452156488988,58.66651385116247,63.25161935633772,11069400
2016-02-12,58.044612884521484,61.347691691443295,57.39851702729225,60.04097785740337,14716300
2016-02-15,60.108253479003906,60.97987979736607,59.20855770710139,59.49797363809322,9653700
2016-02-16,58.18641662597656,60.475583485894624,57.74020021151947,59.93450620569033,6572000
2016-02-17,59.149993896484375,59.673163111507336,56.43251514244949,58.550359244667376,6671700
2016-02-18,59.66300964355469,60.35072608467695,59.09241173365585,59.6247750715058,3276500
2016-02-19,58.541648864746094,60.157134089292306,58.269660967967845,59.91466674903902,4720300
2016-02-22,58.09979248046875,59.42102114946844,56.63579065092676,59.42102114946844,5274800
2016-02-23,57.058292388916016,58.5111616430468,56.701608737100585,58.38097211013417,4355700
2016-02-24,56.277652740478516,57.17493001922962,56.14020767931085,57.17493001922962,4758100
2016-02-25,55.6843147277832,56.67257596824489,54.289522685507066,56.619339264334265,11698700
2016-02-26,56.22199249267578,56.72096188541801,55.52265994362494,56.57577392158912,10910400
2016-02-29,57.41836166381836,58.75362869274296,54.629741686593356,56.22199448527616,6404700
2016-03-01,60.09761428833008,60.59271046289107,57.69084487468123,57.69084487468123,8677500
2016-03-02,61.66614532470703,63.00285982246383,60.43202722779734,60.78629238576452,12220100
2016-03-03,60.086483001708984,62.04461377890062,59.8164298659765,61.76391551764766,6545100
2016-03-04,61.31429672241211,61.82197642584493,59.56669092641768,60.970196711340265,4627500
2016-03-08,60.912601470947266,62.26432532455084,60.72917894844126,61.365109663598766,5294900
2016-03-09,62.178184509277344,62.6737680501551,60.06566818763013,60.931486433568395,6285900
2016-03-10,61.995243072509766,62.52857004351162,61.76583936590928,62.240128916948876,4042300
2016-03-11,61.951683044433594,62.4298459195829,61.27025848500556,62.4298459195829,4313900
2016-03-14,63.07787322998047,63.351308516326284,61.996206157386645,61.996206157386645,4579100
2016-03-15,62.66554260253906,63.83528785787535,62.151083617608485,63.35132052799076,5195800
2016-03-16,62.919830322265625,62.99408368812057,61.46048175849419,62.74996658376151,5833300
